USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2 167724  9884 ?        Ss   10:27   0:03 /sbin/init splash
root         274  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_17]
root         275  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_17]
root         276  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_18]
root         277  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_18]
root         278  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_19]
root         279  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_19]
root         280  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_20]
root         281  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_20]
root         282  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_21]
root         283  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_21]
root         284  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_22]
root         285  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_22]
root         286  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_23]
root         287  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_23]
root         288  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_24]
root         289  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_24]
root         290  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_25]
root         291  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_25]
root         292  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_26]
root         293  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_26]
root         294  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_27]
root         295  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_27]
root         296  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_28]
root         297  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_28]
root         298  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_29]
root         299  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_29]
root         300  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_30]
root         301  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_30]
root         302  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_31]
root         303  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_31]
root         330  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/5:1H-kblockd]
root         331  0.0  0.0      0     0 ?        S    10:27   0:00 [scsi_eh_32]
root         332  0.0  0.0      0     0 ?        I<   10:27   0:00 [scsi_tmf_32]
root         333  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/0:1H-kblockd]
root         336  0.0  0.0      0     0 ?        I<   10:27   0:00 [kworker/3:1H-kblockd]
root         356  0.0  0.0      0     0 ?        S    10:27   0:04 [jbd2/sda5-8]
root         357  0.0  0.0      0     0 ?        I<   10:27   0:00 [ext4-rsv-conver]
root         362  0.0  0.0      0     0 ?        I<   10:27   0:01 [kworker/4:1H-kblockd]
root         407  0.0  0.7  82536 31588 ?        S<s  10:27   0:01 /lib/systemd/systemd-journald
root         421  0.0  0.0      0     0 ?        I<   10:27   0:00 [rpciod]
root         422  0.0  0.0      0     0 ?        I<   10:27   0:00 [xprtiod]
root         429  0.0  0.0   5388   164 ?        Ss   10:27   0:00 /usr/sbin/blkmapd
root         435  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop0]
root         441  0.0  0.0      0     0 ?        I<   10:27   0:00 [ttm_swap]
root         442  0.0  0.0      0     0 ?        S    10:27   0:00 [irq/16-vmwgfx]
root         443  0.0  0.0      0     0 ?        S    10:27   0:00 [card0-crtc0]
root         444  0.0  0.0      0     0 ?        S    10:27   0:00 [card0-crtc1]
root         445  0.0  0.0      0     0 ?        S    10:27   0:00 [card0-crtc2]
root         446  0.0  0.0      0     0 ?        S    10:27   0:00 [card0-crtc3]
root         447  0.0  0.0      0     0 ?        S    10:27   0:00 [card0-crtc4]
root         448  0.0  0.0      0     0 ?        S    10:27   0:00 [card0-crtc5]
root         449  0.0  0.0      0     0 ?        S    10:27   0:00 [card0-crtc6]
root         451  0.0  0.0      0     0 ?        S    10:27   0:00 [card0-crtc7]
root         458  0.0  0.1  24340  6496 ?        Ss   10:27   0:00 /lib/systemd/systemd-udevd
root         466  0.0  0.0 150668   276 ?        Ssl  10:27   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         469  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop1]
root         470  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop2]
root         472  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop3]
root         482  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop4]
root         486  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop5]
root         494  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop6]
root         495  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop7]
root         508  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop8]
root         518  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop9]
root         551  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop10]
root         567  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop11]
root         575  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop12]
root         579  0.0  0.0      0     0 ?        S<   10:27   0:00 [loop13]
root         684  0.0  0.0      0     0 ?        I<   10:27   0:00 [cryptd]
_rpc         807  0.0  0.0   7112  3528 ?        Ss   10:27   0:00 /sbin/rpcbind -f -w
systemd+     809  0.0  0.2  24040 10676 ?        Ss   10:27   0:01 /lib/systemd/systemd-resolved
systemd+     810  0.0  0.1  90264  4428 ?        Ssl  10:27   0:00 /lib/systemd/systemd-timesyncd
root         815  0.0  0.1  58780  7608 ?        Ss   10:27   0:00 /usr/bin/VGAuthService
root         818  0.0  0.1 321876  6468 ?        Ssl  10:27   0:30 /usr/bin/vmtoolsd
root         837  0.0  0.1 246932  6496 ?        Ssl  10:27   0:00 /usr/lib/accountsservice/accounts-daemon
root         838  0.0  0.0   2548   716 ?        Ss   10:27   0:00 /usr/sbin/acpid
avahi        841  0.0  0.0   8536  3224 ?        Ss   10:27   0:01 avahi-daemon: running [xlp-virtual-machine.local]
root         843  0.0  0.0  18052  2952 ?        Ss   10:27   0:00 /usr/sbin/cron -f
message+     846  0.0  0.1   9912  6080 ?        Ss   10:27   0:02 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         849  0.0  0.3 344812 15572 ?        Ssl  10:27   0:29 /usr/sbin/NetworkManager --no-daemon
root         856  0.0  0.0  81940  3568 ?        Ssl  10:27   0:01 /usr/sbin/irqbalance --foreground
root         857  0.0  0.4  47964 16964 ?        Ss   10:27   0:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         860  0.0  0.2 249600  9924 ?        Ssl  10:27   0:03 /usr/lib/policykit-1/polkitd --no-debug
syslog       865  0.0  0.1 224356  4136 ?        Ssl  10:27   0:00 /usr/sbin/rsyslogd -n -iNONE
root         870  0.0  0.6 1316848 26436 ?       Ssl  10:27   0:04 /usr/lib/snapd/snapd
root         873  0.0  0.1 244352  5536 ?        Ssl  10:27   0:00 /usr/libexec/switcheroo-control
root         877  0.0  0.1  16928  6584 ?        Ss   10:27   0:00 /lib/systemd/systemd-logind
root         885  0.0  0.2 392932 11132 ?        Ssl  10:27   0:00 /usr/lib/udisks2/udisksd
root         887  0.0  0.0  13688  3060 ?        Ss   10:27   0:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        908  0.0  0.0   8352   292 ?        S    10:27   0:00 avahi-daemon: chroot helper
root         943  0.0  0.2 178400  9356 ?        Ssl  10:27   0:00 /usr/sbin/cups-browsed
root         944  0.0  0.1  37204  6948 ?        Ss   10:27   0:00 /usr/sbin/cupsd -l
root         952  0.0  0.1 314468  7256 ?        Ssl  10:27   0:00 /usr/sbin/ModemManager
